customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,segment
AP-7202,128,2,576,2,1,1,At-risk
AP-9151,464,3,2151,1,1,3,At-risk
AP-9152,93,2,517,3,1,1,Recent
AR-103451,103,9,4462,3,4,4,High-value
AR-103452,30,9,7043,4,4,4,High-value
AR-103453,316,4,1607,1,2,2,At-risk
AR-103454,112,4,1056,2,2,2,At-risk
AR-104051,55,6,2010,3,3,3,Loyal
AR-104052,112,7,3532,2,3,3,Loyal
AR-104053,145,4,1182,2,2,2,At-risk
AR-104054,126,5,2235,2,2,3,Loyal
AR-105101,238,11,6269,2,4,4,High-value
AR-105102,63,7,6533,3,3,4,High-value
AR-105103,77,6,1210,3,3,2,Loyal
AR-105104,15,5,264,4,2,1,Recent
AR-105401,649,4,1154,1,2,2,At-risk
AR-105402,122,2,64,2,1,1,At-risk
AR-105403,416,3,157,1,1,1,At-risk
AR-105404,7,6,6609,4,3,4,High-value
AR-105701,3,7,4880,4,3,4,High-value
AR-105702,105,4,1898,3,2,3,Recent
AR-105703,3,6,2581,4,3,3,High-value
AR-105704,535,1,88,1,1,1,At-risk
AR-108251,379,4,633,1,2,1,At-risk
AR-108252,80,15,7720,3,4,4,High-value
AR-108253,23,11,2435,4,4,3,High-value
AR-108254,59,8,4523,3,4,4,High-value
AR-3451,696,3,1243,1,1,2,At-risk
AR-3452,142,6,1058,2,3,2,Loyal
AR-4051,377,2,144,1,1,1,At-risk
AR-4052,223,4,426,2,2,1,At-risk
AR-5101,241,2,371,2,1,1,At-risk
AR-5102,105,8,2267,3,4,3,High-value
AR-5401,222,4,325,2,2,1,At-risk
AR-5402,398,4,236,1,2,1,At-risk
AR-5701,295,3,970,1,1,2,At-risk
AR-5702,71,6,1075,3,3,2,Loyal
AR-8251,34,3,1704,4,1,2,Recent
AR-8252,75,4,324,3,2,1,Recent
AS-100451,77,5,2056,3,2,3,Recent
AS-100452,24,13,6708,4,4,4,High-value
AS-100453,220,3,779,2,1,2,At-risk
AS-100454,89,7,3051,3,3,3,Loyal
AS-100901,54,5,1502,3,2,2,Recent
AS-100902,16,8,4140,4,4,4,High-value
AS-100903,192,10,6112,2,4,4,High-value
AS-100904,29,9,3255,4,4,3,High-value
AS-101351,117,11,4430,2,4,4,High-value
AS-101352,628,3,2474,1,1,3,At-risk
AS-101353,236,3,346,2,1,1,At-risk
AS-101354,42,2,58,3,1,1,Recent
AS-102251,72,10,9773,3,4,4,High-value
AS-102252,13,6,6300,4,3,4,High-value
AS-102253,106,7,1031,3,3,2,Loyal
AS-102254,23,5,4262,4,2,4,High-value
AS-102401,22,7,2374,4,3,3,High-value
AS-102402,44,9,3688,3,4,3,High-value
AS-102403,13,8,2358,4,4,3,High-value
AS-102404,193,7,586,2,3,1,At-risk
AS-102851,139,9,6388,2,4,4,High-value
AS-102852,20,7,4997,4,3,4,High-value
AS-102853,19,8,1584,4,4,2,High-value
AS-102854,20,6,3215,4,3,3,High-value
AS-106301,381,6,7447,1,3,4,Loyal
AS-106302,36,5,1455,4,2,2,Recent
AS-106303,629,1,80,1,1,1,At-risk
AS-106304,93,7,835,3,3,2,Loyal
AS-1351,967,1,187,1,1,1,At-risk
AS-1352,93,4,3792,3,2,4,Recent
AS-2251,3,3,254,4,1,1,Recent
AS-2252,385,1,28,1,1,1,At-risk
AS-2253,671,3,189,1,1,1,At-risk
AS-2401,1198,1,5,1,1,1,At-risk
AS-2402,499,4,1681,1,2,2,At-risk
AS-2851,223,7,2059,2,3,3,Loyal
AS-2852,100,6,2881,3,3,3,Loyal
AS-451,777,2,1234,1,1,2,At-risk
AS-452,234,1,379,2,1,1,At-risk
AS-6301,561,8,1908,1,4,3,Loyal
AS-6302,34,3,93,4,1,1,Recent
AS-901,22,4,436,4,2,1,Recent
AT-104351,127,6,2779,2,3,3,Loyal
AT-104352,13,4,6342,4,2,4,High-value
AT-104353,17,8,3364,4,4,3,High-value
AT-104354,22,6,1172,4,3,2,Loyal
AT-107351,78,4,2586,3,2,3,Recent
AT-107352,3,8,4359,4,4,4,High-value
AT-107353,37,7,2206,4,3,3,High-value
AT-107354,14,10,3831,4,4,4,High-value
AT-4351,213,4,540,2,2,1,At-risk
AT-4352,29,8,748,4,4,2,High-value
AT-7351,1057,1,10,1,1,1,At-risk
AT-7352,70,4,393,3,2,1,Recent
AW-108401,119,7,4229,2,3,4,Loyal
AW-108402,17,5,4839,4,2,4,High-value
AW-108403,428,9,3480,1,4,3,Loyal
AW-108404,21,4,649,4,2,1,Recent
AW-109301,59,5,1601,3,2,2,Recent
AW-109302,36,5,4066,4,2,4,High-value
AW-109303,56,5,1713,3,2,2,Recent
AW-109304,47,7,2853,3,3,3,Loyal
AW-8401,57,7,1946,3,3,3,Loyal
AW-9301,171,4,413,2,2,1,At-risk
AW-9302,38,2,370,4,1,1,Recent
AY-105551,211,5,802,2,2,2,At-risk
AY-105552,150,3,3023,2,1,3,At-risk
AY-105553,640,4,1125,1,2,2,At-risk
AY-105554,15,4,496,4,2,1,Recent
AY-5551,249,5,660,2,2,1,At-risk
AY-5552,36,6,2436,4,3,3,High-value
AZ-107501,71,4,742,3,2,2,Recent
AZ-107502,112,4,1287,2,2,2,At-risk
AZ-107503,227,4,5989,2,2,4,Loyal
AZ-107504,161,6,1624,2,3,2,Loyal
AZ-7501,27,5,1461,4,2,2,Recent
AZ-7502,816,1,96,1,1,1,At-risk
AZ-7503,149,4,672,2,2,1,At-risk
BB-109901,97,11,4719,3,4,4,High-value
BB-109902,15,5,1808,4,2,2,Recent
BB-109903,52,9,1790,3,4,2,Loyal
BB-109904,106,5,744,3,2,2,Recent
BB-115451,44,4,1286,3,2,2,Recent
BB-115452,34,7,6600,4,3,4,High-value
BB-115453,41,6,1146,4,3,2,Loyal
BB-115454,29,9,6767,4,4,4,High-value
BB-15451,157,3,131,2,1,1,At-risk
BB-15452,50,2,77,3,1,1,Recent
BB-9901,51,3,507,3,1,1,Recent
BB-9902,79,4,315,3,2,1,Recent
BC-111251,969,2,2829,1,1,3,At-risk
BC-111252,42,12,6941,3,4,4,High-value
BC-111253,34,5,2086,4,2,3,Recent
BC-111254,203,9,2934,2,4,3,Loyal
BC-11251,30,3,85,4,1,1,Recent
BC-11252,132,3,311,2,1,1,At-risk
BD-113201,112,5,2828,2,2,3,Loyal
BD-113202,206,8,3189,2,4,3,Loyal
BD-113203,6,7,1652,4,3,2,Loyal
BD-113204,34,12,5721,4,4,4,High-value
BD-115001,89,6,3761,3,3,3,Loyal
BD-115002,20,8,2534,4,4,3,High-value
BD-115003,126,7,2385,2,3,3,Loyal
BD-115004,36,6,4410,4,3,4,High-value
BD-115601,45,4,1066,3,2,2,Recent
BD-115602,76,7,5213,3,3,4,High-value
BD-115603,8,6,2756,4,3,3,High-value
BD-115604,279,2,321,1,1,1,At-risk
BD-116051,267,6,3719,2,3,3,Loyal
BD-116052,790,3,1268,1,1,2,At-risk
BD-116053,992,3,926,1,1,2,At-risk
BD-116054,98,7,3288,3,3,3,Loyal
BD-116201,138,9,3514,2,4,3,Loyal
BD-116202,56,7,2490,3,3,3,Loyal
BD-116203,50,3,306,3,1,1,Recent
BD-116204,70,6,1539,3,3,2,Loyal
BD-116351,241,7,4867,2,3,4,Loyal
BD-116352,13,10,4687,4,4,4,High-value
BD-116353,164,5,1093,2,2,2,At-risk
BD-116354,10,3,583,4,1,1,Recent
BD-117251,177,8,3901,2,4,4,High-value
BD-117252,190,6,1418,2,3,2,Loyal
BD-117253,5,10,4035,4,4,4,High-value
BD-117254,94,6,1527,3,3,2,Loyal
BD-117701,76,5,3106,3,2,3,Recent
BD-117702,198,7,3543,2,3,3,Loyal
BD-117703,36,8,2859,4,4,3,High-value
BD-117704,328,6,658,1,3,1,At-risk
BD-13201,290,1,57,1,1,1,At-risk
BD-13202,6,5,1829,4,2,2,Recent
BD-15001,399,3,52,1,1,1,At-risk
BD-15601,188,2,137,2,1,1,At-risk
BD-15602,91,3,1427,3,1,2,Recent
BD-16051,276,3,208,1,1,1,At-risk
BD-16052,353,2,481,1,1,1,At-risk
BD-16201,217,4,429,2,2,1,At-risk
BD-16202,118,7,2494,2,3,3,Loyal
BD-16351,465,4,592,1,2,1,At-risk
BD-16352,325,5,5095,1,2,4,Loyal
BD-17251,101,4,2849,3,2,3,Recent
BD-17252,149,9,2229,2,4,3,Loyal
BD-17701,454,3,1630,1,1,2,At-risk
BD-17702,239,2,1775,2,1,2,At-risk
BE-113351,36,9,10731,4,4,4,High-value
BE-113352,91,12,5882,3,4,4,High-value
BE-113353,80,11,6342,3,4,4,High-value
BE-113354,120,5,4205,2,2,4,Loyal
BE-114101,121,10,5536,2,4,4,High-value
BE-114102,85,7,7623,3,3,4,High-value
BE-114103,191,8,1131,2,4,2,Loyal
BE-114104,99,5,2262,3,2,3,Recent
BE-114551,28,9,11483,4,4,4,High-value
BE-114552,4,7,2971,4,3,3,High-value
BE-114553,185,5,1464,2,2,2,At-risk
BE-114554,255,6,1728,2,3,2,Loyal
BE-13351,868,2,705,1,1,1,At-risk
BE-13352,573,3,615,1,1,1,At-risk
BE-14101,22,3,1718,4,1,2,Recent
BE-14102,65,4,141,3,2,1,Recent
BE-14551,147,1,937,2,1,2,At-risk
BE-14552,547,1,403,1,1,1,At-risk
BF-10051,1347,1,699,1,1,1,At-risk
BF-10052,735,1,33,1,1,1,At-risk
BF-10201,160,5,2217,2,2,3,Loyal
BF-10202,97,2,789,3,1,2,Recent
BF-10801,674,3,1568,1,1,2,At-risk
BF-10802,916,1,2183,1,1,3,At-risk
BF-10803,210,2,58,2,1,1,At-risk
BF-109751,36,9,3856,4,4,4,High-value
BF-109752,120,2,2455,2,1,3,At-risk
BF-109753,531,4,1196,1,2,2,At-risk
BF-109754,92,7,600,3,3,1,Loyal
BF-110051,9,9,14563,4,4,4,High-value
BF-110052,55,7,3911,3,3,4,High-value
BF-110053,92,5,3540,3,2,3,Recent
BF-110054,40,4,1336,4,2,2,Recent
BF-110201,113,3,1704,2,1,2,At-risk
BF-110202,16,8,3939,4,4,4,High-value
BF-110203,189,5,1668,2,2,2,At-risk
BF-110204,75,8,2889,3,4,3,High-value
BF-110801,56,9,5973,3,4,4,High-value
BF-110802,335,4,2303,1,2,3,At-risk
BF-110803,159,5,1583,2,2,2,At-risk
BF-110804,26,3,274,4,1,1,Recent
BF-111701,58,4,7092,3,2,4,Recent
BF-111702,59,8,6134,3,4,4,High-value
BF-111703,20,8,3179,4,4,3,High-value
BF-111704,17,11,5909,4,4,4,High-value
BF-112151,134,10,4587,2,4,4,High-value
BF-112152,27,7,2734,4,3,3,High-value
BF-112153,483,6,4064,1,3,4,Loyal
BF-112154,66,4,1586,3,2,2,Recent
BF-112751,737,1,407,1,1,1,At-risk
BF-112752,7,10,4357,4,4,4,High-value
BF-112753,7,9,4024,4,4,4,High-value
BF-112754,58,3,791,3,1,2,Recent
BF-11701,551,2,268,1,1,1,At-risk
BF-11702,194,4,637,2,2,1,At-risk
BF-12151,118,5,399,2,2,1,At-risk
BF-12751,1119,1,24,1,1,1,At-risk
BF-12752,129,6,985,2,3,2,Loyal
BF-9751,287,5,1009,1,2,2,At-risk
BF-9752,23,3,722,4,1,1,Recent
BG-10351,601,1,124,1,1,1,At-risk
BG-110351,117,9,6713,2,4,4,High-value
BG-110352,30,6,7445,4,3,4,High-value
BG-110353,136,10,2942,2,4,3,Loyal
BG-110354,29,8,2799,4,4,3,High-value
BG-116951,69,6,3436,3,3,3,Loyal
BG-116952,384,1,662,1,1,1,At-risk
BG-116953,10,6,4753,4,3,4,High-value
BG-116954,37,6,1873,4,3,2,Loyal
BG-117401,85,6,4900,3,3,4,High-value
BG-117402,7,7,3270,4,3,3,High-value
BG-117403,119,5,5513,2,2,4,Loyal
BG-117404,58,6,1006,3,3,2,Loyal
BG-16951,45,4,413,3,2,1,Recent
BG-16952,481,1,76,1,1,1,At-risk
BG-17401,17,2,145,4,1,1,Recent
BG-17402,44,2,547,3,1,1,Recent
BH-117101,29,4,2412,4,2,3,Recent
BH-117102,52,6,7089,3,3,4,High-value
BH-117103,52,13,7779,3,4,4,High-value
BH-117104,24,8,6256,4,4,4,High-value
BH-17101,274,3,1333,1,1,2,At-risk
BH-17102,94,7,3251,3,3,3,Loyal
BK-112601,29,7,6899,4,3,4,High-value
BK-112602,27,8,3859,4,4,4,High-value
BK-112603,108,6,1877,3,3,2,Loyal
BK-112604,78,6,659,3,3,1,Loyal
BK-12601,125,1,214,2,1,1,At-risk
BK-12602,41,5,78,4,2,1,Recent
BM-111401,143,7,6930,2,3,4,Loyal
BM-111402,12,6,1344,4,3,2,Loyal
BM-111403,9,12,5250,4,4,4,High-value
BM-111404,308,4,11791,1,2,4,Loyal
BM-11401,371,2,86,1,1,1,At-risk
BM-11402,14,4,1772,4,2,2,Recent
BM-115751,45,9,6011,3,4,4,High-value
BM-115752,94,4,625,3,2,1,Recent
BM-115753,35,6,2908,4,3,3,High-value
BM-115754,101,6,809,3,3,2,Loyal
BM-116501,157,3,835,2,1,2,At-risk
BM-116502,155,7,3296,2,3,3,Loyal
BM-116503,199,3,3497,2,1,3,At-risk
BM-116504,34,11,7293,4,4,4,High-value
BM-117851,41,14,10399,4,4,4,High-value
BM-117852,3,7,4330,4,3,4,High-value
BM-117853,37,5,2377,4,2,3,Recent
BM-117854,219,10,1338,2,4,2,Loyal
BM-15751,41,5,1368,4,2,2,Recent
BM-15752,198,4,334,2,2,1,At-risk
BM-16501,1190,2,341,1,1,1,At-risk
BM-16502,1154,1,17,1,1,1,At-risk
BM-16503,482,5,2180,1,2,3,At-risk
BM-17851,85,7,2096,3,3,3,Loyal
BM-17852,49,2,149,3,1,1,Recent
BN-114701,181,10,13672,2,4,4,High-value
BN-114702,36,6,3729,4,3,3,High-value
BN-114703,12,9,5710,4,4,4,High-value
BN-114704,25,4,266,4,2,1,Recent
BN-115151,76,4,1364,3,2,2,Recent
BN-115152,21,5,2433,4,2,3,Recent
BN-115153,433,9,5014,1,4,4,Loyal
BN-115154,10,5,1460,4,2,2,Recent
BN-14701,23,3,1325,4,1,2,Recent
BN-14702,52,4,1498,3,2,2,Recent
BN-15151,100,4,773,3,2,2,Recent
BN-15152,28,4,1834,4,2,2,Recent
BO-113501,140,8,3754,2,4,3,Loyal
BO-113502,112,4,815,2,2,2,At-risk
BO-113503,1115,3,225,1,1,1,At-risk
BO-113504,138,5,2682,2,2,3,Loyal
BO-114251,6,7,1939,4,3,3,High-value
BO-114252,175,8,6314,2,4,4,High-value
BO-114253,98,4,3974,3,2,4,Recent
BO-114254,76,2,131,3,1,1,Recent
BO-13501,22,3,477,4,1,1,Recent
BO-13502,329,3,140,1,1,1,At-risk
BO-14251,2,4,1560,4,2,2,Recent
BO-14252,376,4,1111,1,2,2,At-risk
